ip_block,owner
173.245.48.0/20,Cloudflare
103.21.244.0/22,Cloudflare
103.22.200.0/22,Cloudflare
103.31.4.0/22,Cloudflare
141.101.64.0/18,Cloudflare
108.162.192.0/18,Cloudflare
190.93.240.0/20,Cloudflare
188.114.96.0/20,Cloudflare
197.234.240.0/22,Cloudflare
198.41.128.0/17,Cloudflare
162.158.0.0/15,Cloudflare
104.16.0.0/13,Cloudflare
104.24.0.0/14,Cloudflare
172.64.0.0/13,Cloudflare
131.0.72.0/22,Cloudflare
8.8.4.0/24,Google Cloud
8.8.8.0/24,Google Cloud
8.34.208.0/20,Google Cloud
8.35.192.0/20,Google Cloud
23.236.48.0/20,Google Cloud
23.251.128.0/19,Google Cloud
34.0.0.0/15,Google Cloud
34.2.0.0/16,Google Cloud
34.3.0.0/23,Google Cloud
34.3.3.0/24,Google Cloud
34.3.4.0/24,Google Cloud
34.3.8.0/21,Google Cloud
34.3.16.0/20,Google Cloud
34.3.32.0/19,Google Cloud
34.3.64.0/18,Google Cloud
34.4.0.0/14,Google Cloud
34.8.0.0/13,Google Cloud
34.16.0.0/12,Google Cloud
34.32.0.0/11,Google Cloud
34.64.0.0/10,Google Cloud
34.128.0.0/10,Google Cloud
35.184.0.0/13,Google Cloud
35.192.0.0/14,Google Cloud
35.196.0.0/15,Google Cloud
35.198.0.0/16,Google Cloud
35.199.0.0/17,Google Cloud
35.199.128.0/18,Google Cloud
35.200.0.0/13,Google Cloud
35.208.0.0/12,Google Cloud
35.224.0.0/12,Google Cloud
35.240.0.0/13,Google Cloud
57.140.192.0/18,Google Cloud
64.15.112.0/20,Google Cloud
64.233.160.0/19,Google Cloud
66.22.228.0/23,Google Cloud
66.102.0.0/20,Google Cloud
66.249.64.0/19,Google Cloud
70.32.128.0/19,Google Cloud
72.14.192.0/18,Google Cloud
74.125.0.0/16,Google Cloud
104.154.0.0/15,Google Cloud
104.196.0.0/14,Google Cloud
104.237.160.0/19,Google Cloud
107.167.160.0/19,Google Cloud
107.178.192.0/18,Google Cloud
108.59.80.0/20,Google Cloud
108.170.192.0/18,Google Cloud
108.177.0.0/17,Google Cloud
130.211.0.0/16,Google Cloud
136.22.160.0/20,Google Cloud
136.22.176.0/21,Google Cloud
136.22.184.0/23,Google Cloud
136.22.186.0/24,Google Cloud
136.124.0.0/15,Google Cloud
142.250.0.0/15,Google Cloud
146.148.0.0/17,Google Cloud
152.65.208.0/22,Google Cloud
152.65.214.0/23,Google Cloud
152.65.218.0/23,Google Cloud
152.65.222.0/23,Google Cloud
152.65.224.0/19,Google Cloud
162.120.128.0/17,Google Cloud
162.216.148.0/22,Google Cloud
162.222.176.0/21,Google Cloud
172.110.32.0/21,Google Cloud
172.217.0.0/16,Google Cloud
172.253.0.0/16,Google Cloud
173.194.0.0/16,Google Cloud
173.255.112.0/20,Google Cloud
192.158.28.0/22,Google Cloud
192.178.0.0/15,Google Cloud
193.186.4.0/24,Google Cloud
199.36.154.0/23,Google Cloud
199.36.156.0/24,Google Cloud
199.192.112.0/22,Google Cloud
199.223.232.0/21,Google Cloud
207.223.160.0/20,Google Cloud
208.65.152.0/22,Google Cloud
208.68.108.0/22,Google Cloud
208.81.188.0/22,Google Cloud
208.117.224.0/19,Google Cloud
209.85.128.0/17,Google Cloud
216.58.192.0/19,Google Cloud
216.73.80.0/20,Google Cloud
216.239.32.0/19,Google Cloud
23.32.0.0/11, Akamai	
23.192.0.0/11, Akamai	
2.16.0.0/13, Akamai	
104.64.0.0/10, Akamai	
184.24.0.0/13, Akamai	
23.0.0.0/12, Akamai	
95.100.0.0/15, Akamai	
92.122.0.0/15, Akamai
184.50.0.0/15, Akamai	
88.221.0.0/16, Akamai	
23.64.0.0/14, Akamai	
72.246.0.0/15, Akamai	
96.16.0.0/15, Akamai	
96.6.0.0/15, Akamai	
69.192.0.0/16, Akamai	
23.72.0.0/13, Akamai	
173.222.0.0/15, Akamai	
118.214.0.0/16, Akamai	
184.84.0.0/14, Akamai
